line_index,Player,gender
1,RICHMOND,Male
2,RICHMOND,Male
3,RICHMOND,Male
4,RICHMOND,Male
5,RICHMOND,Male
6,RICHMOND,Male
7,RICHMOND,Male
8,RICHMOND,Male
9,RICHMOND,Male
10,RICHMOND,Male
11,RICHMOND,Male
12,RICHMOND,Male
13,RICHMOND,Male
14,RICHMOND,Male
15,RICHMOND,Male
16,SAMPSON,Male
17,GREGORY,Male
18,SAMPSON,Male
19,GREGORY,Male
20,SAMPSON,Male
21,GREGORY,Male
22,SAMPSON,Male
23,GREGORY,Male
24,GREGORY,Male
25,SAMPSON,Male
26,SAMPSON,Male
27,GREGORY,Male
28,GREGORY,Male
29,SAMPSON,Male
30,SAMPSON,Male
31,SAMPSON,Male
32,SAMPSON,Male
33,GREGORY,Male
34,SAMPSON,Male
35,SAMPSON,Male
36,SAMPSON,Male
37,GREGORY,Male
38,SAMPSON,Male
39,SAMPSON,Male
40,GREGORY,Male
41,SAMPSON,Male
42,SAMPSON,Male
43,GREGORY,Male
44,GREGORY,Male
45,GREGORY,Male
46,SAMPSON,Male
47,GREGORY,Male
48,SAMPSON,Male
49,GREGORY,Male
50,SAMPSON,Male
51,GREGORY,Male
52,GREGORY,Male
53,SAMPSON,Male
54,SAMPSON,Male
55,ABRAHAM,Male
56,SAMPSON,Male
57,ABRAHAM,Male
58,SAMPSON,Male
59,SAMPSON,Male
60,GREGORY,Male
61,SAMPSON,Male
62,SAMPSON,Male
63,GREGORY,Male
64,ABRAHAM,Male
65,SAMPSON,Male
66,ABRAHAM,Male
67,SAMPSON,Male
68,GREGORY,Male
69,SAMPSON,Male
70,ABRAHAM,Male
71,SAMPSON,Male
72,BENVOLIO,Male
73,BENVOLIO,Male
74,TYBALT,Male
75,TYBALT,Male
76,BENVOLIO,Male
77,BENVOLIO,Male
78,TYBALT,Male
79,TYBALT,Male
80,TYBALT,Male
81,First Citizen,Undetermined
82,First Citizen,Undetermined
83,CAPULET,Male
84,LADY CAPULET,Female
85,CAPULET,Male
86,CAPULET,Male
87,MONTAGUE,Male
88,LADY MONTAGUE,Female
89,PRINCE,Male
90,PRINCE,Male
91,PRINCE,Male
92,PRINCE,Male
93,PRINCE,Male
94,PRINCE,Male
95,PRINCE,Male
96,PRINCE,Male
97,PRINCE,Male
98,PRINCE,Male
99,PRINCE,Male
100,PRINCE,Male
101,PRINCE,Male
102,PRINCE,Male
103,PRINCE,Male
104,PRINCE,Male
105,PRINCE,Male
106,PRINCE,Male
107,PRINCE,Male
108,PRINCE,Male
109,PRINCE,Male
110,PRINCE,Male
111,PRINCE,Male
112,MONTAGUE,Male
113,MONTAGUE,Male
114,BENVOLIO,Male
115,BENVOLIO,Male
116,BENVOLIO,Male
117,BENVOLIO,Male
118,BENVOLIO,Male
119,BENVOLIO,Male
120,BENVOLIO,Male
121,BENVOLIO,Male
122,BENVOLIO,Male
123,BENVOLIO,Male
124,LADY MONTAGUE,Female
125,LADY MONTAGUE,Female
126,BENVOLIO,Male
127,BENVOLIO,Male
128,BENVOLIO,Male
129,BENVOLIO,Male
130,BENVOLIO,Male
131,BENVOLIO,Male
132,BENVOLIO,Male
133,BENVOLIO,Male
134,BENVOLIO,Male
135,BENVOLIO,Male
136,BENVOLIO,Male
137,BENVOLIO,Male
138,MONTAGUE,Male
139,MONTAGUE,Male
140,MONTAGUE,Male
141,MONTAGUE,Male
142,MONTAGUE,Male
143,MONTAGUE,Male
144,MONTAGUE,Male
145,MONTAGUE,Male
146,MONTAGUE,Male
147,MONTAGUE,Male
148,MONTAGUE,Male
149,MONTAGUE,Male
150,BENVOLIO,Male
151,MONTAGUE,Male
152,BENVOLIO,Male
153,MONTAGUE,Male
154,MONTAGUE,Male
155,MONTAGUE,Male
156,MONTAGUE,Male
157,MONTAGUE,Male
158,MONTAGUE,Male
159,MONTAGUE,Male
160,MONTAGUE,Male
161,MONTAGUE,Male
162,MONTAGUE,Male
163,BENVOLIO,Male
164,BENVOLIO,Male
165,MONTAGUE,Male
166,MONTAGUE,Male
167,BENVOLIO,Male
168,ROMEO,Male
169,BENVOLIO,Male
170,ROMEO,Male
171,ROMEO,Male
172,BENVOLIO,Male
173,ROMEO,Male
174,BENVOLIO,Male
175,ROMEO,Male
176,BENVOLIO,Male
177,ROMEO,Male
178,BENVOLIO,Male
179,BENVOLIO,Male
180,ROMEO,Male
181,ROMEO,Male
182,ROMEO,Male
183,ROMEO,Male
184,ROMEO,Male
185,ROMEO,Male
186,ROMEO,Male
187,ROMEO,Male
188,ROMEO,Male
189,ROMEO,Male
190,ROMEO,Male
191,ROMEO,Male
192,ROMEO,Male
193,ROMEO,Male
194,BENVOLIO,Male
195,ROMEO,Male
196,BENVOLIO,Male
197,ROMEO,Male
198,ROMEO,Male
199,ROMEO,Male
200,ROMEO,Male
201,ROMEO,Male
202,ROMEO,Male
203,ROMEO,Male
204,ROMEO,Male
205,ROMEO,Male
206,ROMEO,Male
207,ROMEO,Male
208,BENVOLIO,Male
209,BENVOLIO,Male
210,ROMEO,Male
211,ROMEO,Male
212,BENVOLIO,Male
213,ROMEO,Male
214,BENVOLIO,Male
215,BENVOLIO,Male
216,ROMEO,Male
217,ROMEO,Male
218,ROMEO,Male
219,BENVOLIO,Male
220,ROMEO,Male
221,BENVOLIO,Male
222,ROMEO,Male
223,ROMEO,Male
224,ROMEO,Male
225,ROMEO,Male
226,ROMEO,Male
227,ROMEO,Male
228,ROMEO,Male
229,ROMEO,Male
230,ROMEO,Male
231,BENVOLIO,Male
232,ROMEO,Male
233,ROMEO,Male
234,ROMEO,Male
235,ROMEO,Male
236,ROMEO,Male
237,ROMEO,Male
238,ROMEO,Male
239,BENVOLIO,Male
240,ROMEO,Male
241,BENVOLIO,Male
242,BENVOLIO,Male
243,ROMEO,Male
244,ROMEO,Male
245,ROMEO,Male
246,ROMEO,Male
247,ROMEO,Male
248,ROMEO,Male
249,ROMEO,Male
250,ROMEO,Male
251,ROMEO,Male
252,ROMEO,Male
253,BENVOLIO,Male
254,CAPULET,Male
255,CAPULET,Male
256,CAPULET,Male
257,PARIS,Male
258,PARIS,Male
259,PARIS,Male
260,CAPULET,Male
261,CAPULET,Male
262,CAPULET,Male
263,CAPULET,Male
264,CAPULET,Male
265,PARIS,Male
266,CAPULET,Male
267,CAPULET,Male
268,CAPULET,Male
269,CAPULET,Male
270,CAPULET,Male
