,PlayerLine,line_index
0,"Two households, both alike in dignity,",1
1,"In fair Verona, where we lay our scene,",2
2,"From ancient grudge break to new mutiny,",3
3,Where civil blood makes civil hands unclean.,4
4,From forth the fatal loins of these two foes,5
5,"A pair of star-cross'd lovers take their life,",6
6,Whose misadventured piteous overthrows,7
7,Do with their death bury their parents' strife.,8
8,"The fearful passage of their death-mark'd love,",9
9,"And the continuance of their parents' rage,",10
10,"Which, but their children's end, nought could remove,",11
11,"Is now the two hours' traffic of our stage,",12
12,"The which if you with patient ears attend,",13
13,"What here shall miss, our toil shall strive to mend.",14
14,SCENE I. Verona. A public place.,15
15,"Gregory, o' my word, we'll not carry coals.",16
16,"No, for then we should be colliers.",17
17,"I mean, an we be in choler, we'll draw.",18
18,"Ay, while you live, draw your neck out o' the collar.",19
19,"I strike quickly, being moved.",20
20,But thou art not quickly moved to strike.,21
21,A dog of the house of Montague moves me.,22
22,"To move is to stir, and to be valiant is to stand:",23
23,"therefore, if thou art moved, thou runn'st away.",24
24,A dog of that house shall move me to stand: I will,25
25,take the wall of any man or maid of Montague's.,26
26,"That shows thee a weak slave, for the weakest goes",27
27,to the wall.,28
28,"True, and therefore women, being the weaker vessels,",29
29,are ever thrust to the wall: therefore I will push,30
30,"Montague's men from the wall, and thrust his maids",31
31,to the wall.,32
32,The quarrel is between our masters and us their men.,33
33,"'Tis all one, I will show myself a tyrant: when I",34
34,"have fought with the men, I will be cruel with the",35
35,"maids, and cut off their heads.",36
36,The heads of the maids?,37
37,"Ay, the heads of the maids, or their maidenheads,",38
38,take it in what sense thou wilt.,39
39,They must take it in sense that feel it.,40
40,Me they shall feel while I am able to stand: and,41
41,'tis known I am a pretty piece of flesh.,42
42,"'Tis well thou art not fish, if thou hadst, thou",43
43,hadst been poor John. Draw thy tool! here comes,44
44,two of the house of the Montagues.,45
45,"My naked weapon is out: quarrel, I will back thee.",46
46,How! turn thy back and run?,47
47,Fear me not.,48
48,"No, marry, I fear thee!",49
49,"Let us take the law of our sides, let them begin.",50
50,"I will frown as I pass by, and let them take it as",51
51,they list.,52
52,"Nay, as they dare. I will bite my thumb at them,",53
53,"which is a disgrace to them, if they bear it.",54
54,"Do you bite your thumb at us, sir?",55
55,"I do bite my thumb, sir.",56
56,"Do you bite your thumb at us, sir?",57
57,"[Aside to GREGORY]  Is the law of our side, if I say",58
58,ay?,59
59,No.,60
60,"No, sir, I do not bite my thumb at you, sir, but I",61
61,"bite my thumb, sir.",62
62,"Do you quarrel, sir?",63
63,"Quarrel sir! no, sir.",64
64,"If you do, sir, I am for you: I serve as good a man as you.",65
65,No better.,66
66,"Well, sir.",67
67,Say 'better:' here comes one of my master's kinsmen.,68
68,"Yes, better, sir.",69
69,You lie.,70
70,"Draw, if you be men. Gregory, remember thy swashing blow.",71
71,"Part, fools!",72
72,"Put up your swords, you know not what you do.",73
73,"What, art thou drawn among these heartless hinds?",74
74,"Turn thee, Benvolio, look upon thy death.",75
75,"I do but keep the peace: put up thy sword,",76
76,Or manage it to part these men with me.,77
77,"What, drawn, and talk of peace! I hate the word,",78
78,"As I hate hell, all Montagues, and thee:",79
79,"Have at thee, coward!",80
80,"Clubs, bills, and partisans! strike! beat them down!",81
81,Down with the Capulets! down with the Montagues!,82
82,"What noise is this? Give me my long sword, ho!",83
83,"A crutch, a crutch! why call you for a sword?",84
84,"My sword, I say! Old Montague is come,",85
85,And flourishes his blade in spite of me.,86
86,"Thou villain Capulet,--Hold me not, let me go.",87
87,Thou shalt not stir a foot to seek a foe.,88
88,"Rebellious subjects, enemies to peace,",89
89,"Profaners of this neighbour-stained steel,--",90
90,"Will they not hear? What, ho! you men, you beasts,",91
91,That quench the fire of your pernicious rage,92
92,"With purple fountains issuing from your veins,",93
93,"On pain of torture, from those bloody hands",94
94,"Throw your mistemper'd weapons to the ground,",95
95,And hear the sentence of your moved prince.,96
96,"Three civil brawls, bred of an airy word,",97
97,"By thee, old Capulet, and Montague,",98
98,"Have thrice disturb'd the quiet of our streets,",99
99,And made Verona's ancient citizens,100
100,"Cast by their grave beseeming ornaments,",101
