Ship,Flag
Black Assarca shipwreck,Unknown
Globe Star,Singapore
Gulland,Aden
Mtongwe,Tanzania
Katina P,Greece
Sunny South,Royal Navy
Achille Lauro,Italy
U-852,Kriegsmarine
SMS Königsberg,Imperial German Navy
HMS Pegasus,Royal Navy
Spice Islander I,Tanzania
Bukoba,Tanzania
Kabalega,Uganda
Robert Coryndon,The Protectorate of Uganda
Adventure Galley,England
HMS Serapis,Royal Navy
HMS Algerine,Royal Navy
City of Venice,Royal Navy
HMS Ibis,Royal Navy
HMS Karanja,Royal Navy
USS Leedstown,United States Navy
HMCS Louisburg,Royal Canadian Navy
HMT Narkunda,Royal Navy
HMT Rohna,Royal Navy
HMS Samphire,Royal Navy
Strathallen,Royal Navy
HMS Attack,Royal Navy
HMS Defender,Royal Navy
L'Orient,French Navy
HMS Myngs,Royal Navy
Salem Express,France
HMS Salvia,Royal Navy
Yolanda (Jolanda),Cyprus
HMS Dainty,Royal Navy
HMS Ladybird,Royal Navy
Shuntien,Royal Navy
HMS Sikh,Royal Navy
HMS Terror,Royal Navy
U-652,Kriegsmarine
Yoma,Royal Navy
Commerce,United States
Delhi,United Kingdom
Empire Barracuda,United Kingdom
USS Hugh L. Scott,United States Navy
HMS Lady Shirley,Royal Navy
USS Tasker H. Bliss,United States Navy
Taube,Germany
U-173,Kriegsmarine
U-204,Kriegsmarine
U-731,Kriegsmarine
U-732,Kriegsmarine
HMS Havock,Royal Navy
HMS Hostile,Royal Navy
Mahdia,Unknown
HMS Manchester,Royal Navy
USS PC-496,United States Navy
USS Redwing,United States Navy
Bom Jesus,Portugal
Dunedin Star,United Kingdom
Eduard Bohlen,Germany
Frotamerica,Unknown
,Natal Coast
Bredenhof,Dutch East India Company
Cordigliera,Unknown
Doddington,East India Company
Grosvenor,East India Company
Kapodistrias,Greece
Kiperousa,Unknown
Meng Yaw,Unknown
Oceanos,Greece
Santissimo Sacramento,Portugal
Shalom,Bahamas
TMP Sagittarius,Unknown
HMS Otus,Royal Navy
Phoenix,Equatorial Guinea
Volo,Norway
A.H. Stevens,Unknown
Arniston,East India Company
HMS Birkenhead,Royal Navy
BOS 400,France
British Peer,United Kingdom
Cospatrick,United Kingdom
HMS Guardian,Royal Navy
Ikan Tanda,Singapore
Joanna,East India Company
Johanna Wagner,Prussia
Kakapo,United Kingdom
Maori,United Kingdom
Meisho Maru No. 38,Japan
Nolloth,Unknown
Pantalis A Lemos,Unknown
HMS Pelorus,Royal Navy
SAS President Kruger,South African Navy
São José Paquete Africa,Portugal
HMS Sceptre,Royal Navy
Seli 1,Turkey
Staaten Generaal,Batavian Republic
HMS Thames,Royal Navy
Thomas T. Tucker,United States
Treasure,Panama
Wafra,Liberia
Waterloo,United Kingdom
Diemermeer,Dutch East India Company
George,Nigeria
Hartwell,East India Company
Joola,Senegal
Medusa,Kingdom of France
Primauguet,French Navy
Tor Hugo,Norway
William D. Lawrence,Canada
Fifi,Bahrain
Unknown,Unknown
Demas Victory,United Arab Emirates
Free Enterprise,Egypt
Glen Sannox,Panama
Saudi Golden Arrow,Unknown
Allah Mina,Unknown
Dara,United Kingdom
Aden,United Kingdom
Hutton,Unknown
HMS Khartoum,Royal Navy
HMIS Jamnagar,Indian Navy
USS Salute,United States Navy
HMIS Indus,Indian Navy
Amatsukaze,Imperial Japanese Navy
SMS Cormoran,Imperial German Navy
Dashun,China
Dingyuan,Imperial Chinese Navy
Dongfang zhi Xing,China
Huaguangjiao One,Unknown
Jingyuan,Imperial Chinese Navy
Jiyuan,Imperial Chinese Navy
Kaimon,Imperial Chinese Navy
Laiyuan,Imperial Chinese Navy
Nan'ao One,Unknown
Nanhai One,Unknown
Ōshima,Imperial Japanese Navy
Petropavlovsk,Imperial Russian Navy
Red Star 312,China
Rong Jian,China
Sevastopol,Imperial Russian Navy
Wanjiao One,Unknown
HMAS Armidale,Royal Australian Navy
HMAS Voyager,Royal Australian Navy
Bokhara,United Kingdom
Fatshan,Hong Kong
RMS Queen Elizabeth,United Kingdom
Lamma IV,Hong Kong
Neftegaz-67,Ukraine
PNS Ghazi,Pakistan Navy
The Kadakkarapally Boat,Unknown
Stakesby,United Kingdom
HMS Alceste,Royal Navy
Amagiri,Imperial Japanese Navy
Aquila,Italy
Asagumo,Imperial Japanese Navy
Ashigara,Imperial Japanese Navy
Belitung shipwreck,Unknown
USS Bullhead,United States Navy
HNLMS De Ruyter,Royal Netherlands Navy
USS Edsall,United States Navy
HMS Electra,Royal Navy
HMS Encounter,Royal Navy
HMS Exeter,Royal Navy
Friendship,Great Britain
Hayanami,Imperial Japanese Navy
Hokaze,Imperial Japanese Navy
USS Houston,United States Navy
I-60,Imperial Japanese Navy
Inazuma,Imperial Japanese Navy
Isonami,Imperial Japanese Navy
Isuzu,Imperial Japanese Navy
Itsukushima,Imperial Japanese Navy
HNLMS Java,Royal Netherlands Navy
Junyō Maru,Imperial Japanese Navy
HMS Jupiter,Royal Navy
HNLMS K VII,Royal Netherlands Navy
HNLMS K XVIII,Royal Netherlands Navy
HNLMS Kortenaer,Royal Netherlands Navy
Lammermuir,United Kingdom
USS Langley,United States Navy
Levina 1,Indonesia
USAT Liberty,United States Army
HMS Li Wo,Royal Navy
Memnon,United States
Minazuki,Imperial Japanese Navy
Nadakaze,Imperial Japanese Navy
Natsushio,Imperial Japanese Navy
No. 2,Imperial Japanese Navy
Ocean,East India Company
USS Perch,United States Navy
HMAS Perth,Royal Australian Navy
USS Pope,United States Navy
USS S-36,United States Navy
San Flaviano,United Kingdom
Senopati Nusantara,Indonesia
Sierra Cordoba,United States
KMP Tampomas II,Indonesia
Tōhō Maru,Imperial Japanese Navy
Tsugaru,Imperial Japanese Navy
U-183,Kriegsmarine
U-537,Kriegsmarine
HNLMS Van Ghent,Royal Netherlands Navy
HNLMS Van Nes,Royal Netherlands Navy
Admiral Nakhimov,Imperial Russian Navy
Admiral Ushakov,Imperial Russian Navy
Aki,Imperial Japanese Navy
Aoba,Imperial Japanese Navy
Aoba Maru,Japan
Ariel,United States
USS Bates,United States Navy
Borodino,Imperial Russian Navy
Chishima,Imperial Japanese Navy
Chiyoda,Imperial Japanese Navy
Dakota,United States
USS Emmons,United States Navy
Ertuğrul,Ottoman Navy
USS Greene,United States Navy
I-58,Imperial Japanese Navy
I-157,Imperial Japanese Navy
Imperator Aleksandr III,Imperial Russian Navy
Kazu I,Japan
Kamikaze,Imperial Japanese Navy
Kawachi,Imperial Japanese Navy
Kiche Maru,Japan
Kitagawa Maru No.5,Japan
Knyaz Suvorov,Imperial Russian Navy
Lisbon Maru,Imperial Japanese Navy
Nagara,Imperial Japanese Navy
Nankai Maru,Japan
Nisshin,Imperial Japanese Navy
Nossa Senhora da Graça,Portugal
Numakaze,Imperial Japanese Navy
Okikaze,Imperial Japanese Navy
Oslyabya,Imperial Russian Navy
Otowa,Imperial Japanese Navy
Seiki,Imperial Japanese Navy
Sekirei Maru,Japan
Shiun Maru,Japan
USS Skylark,United States Navy
Sissoi Veliky,Imperial Russian Navy
USS Swallow,United States Navy
USS Tang,United States Navy
Tarumizu Maru No.6,Japan
Thor,Kriegsmarine
USS Thornton,United States Navy
Tofuku Maru,Imperial Japanese Navy
Tokiwa Maru,Japan
Tosa,Imperial Japanese Navy
Tōya Maru,Japan
Toyo Maru No 10,Japan
Tsushima Maru,Japan
Vladimir Monomakh,Imperial Russian Navy
Danny F II,Panama
HMS Victoria,Royal Navy
Atago Maru,Imperial Japanese Navy
Awazisan Maru,Imperial Japanese Navy
Haguro,Imperial Japanese Navy
Hatsutaka,Imperial Japanese Navy
Kuma,Imperial Japanese Navy
Kuroshio Maru,Japan
HMS Prince of Wales,Royal Navy
HMS Repulse,Royal Navy
HMS Stratagem,Royal Navy
Abukuma,Imperial Japanese Navy
Akebono,Imperial Japanese Navy
Akigumo,Imperial Japanese Navy
Akishimo,Imperial Japanese Navy
Akitsushima,Imperial Japanese Navy
Asakaze (1922),Imperial Japanese Navy
Asia South Korea,Philippines
Awa Maru,Imperial Japanese Navy
USS Barbel,United States Navy
Castilla,Spanish Navy
Cebu City,Philippines
China Maru,Japan
USS Cooper,United States Navy
USS Darter,United States Navy
Doña Marilyn,Philippines
Dumaguete J,Philippines
USS Flier,United States Navy
Fujinami,Imperial Japanese Navy
Hamanami,Imperial Japanese Navy
USS Harder,United States Navy
Hatsuharu,Imperial Japanese Navy
USS Hoel,United States Navy
USS Hovey,United States Navy
USS Indianapolis,United States Navy
Irako,Imperial Japanese Navy
Isuzu Maru,Imperial Japanese Navy
USS Johnston,United States Navy
Kazagumo,Imperial Japanese Navy
Kinu,Imperial Japanese Navy
Kiyoshimo,Imperial Japanese Navy
Kogyo Maru,Imperial Japanese Army
Kumano,Imperial Japanese Navy
Kyokuzan Maru,Imperial Japanese Army
USS Lanakai,United States Navy
USS Mahan,United States Navy
USS Majaba,United States Navy
Michishio,Imperial Japanese Navy
Ming Dynasty,Unknown
Mogami,Imperial Japanese Navy
Musashi,Imperial Japanese Navy
K-27,Soviet Navy
Niitaka,Imperial Japanese Navy
Sibiryakov,Soviet Navy
U-362,Kriegsmarine
U-639,Kriegsmarine
USS Wahoo,United States Navy
La Seyne,France
Chang Tyong-ho,South Korea
Hanseong-ho,South Korea
USS Magpie,United States Navy
Namyong ho,South Korea
Seohae,South Korea
Sewol,South Korea
Sperwer,VOC
Yeong-ho,South Korea
Ava,United Kingdom
British Sergeant,United Kingdom
Great Basses wreck,Mughal Empire
HMS Hollyhock,Royal Navy
Farah III,Jordan
HMS Tenedos,Royal Navy
HMAS Vampire,Royal Australian Navy
HMS Hermes,Royal Navy
HMCyS Vijaya,Royal Ceylon Navy
Hatakaze,Imperial Japanese Navy
Minekaze,Imperial Japanese Navy
King Cruiser,Thailand
Ocean Dream,Panama
HTMS Sukhothai,Royal Thai Navy
Alexandra,French Navy
Âsâr-ı Tevfik,Ottoman Navy
HMS Arno,Royal Navy
Bouvet,French Navy
SMS Breslau,Imperial German Navy
The Cape Gelidonya shipwreck,Unknown
Duchess of York,United Kingdom
HMS Majestic,Royal Navy
Mariotte,French Navy
Paris II,French Navy
HMS Raglan,Royal Navy
Refah,Turkey
Sakarya,Unknown
U-20,Kriegsmarine
Uluburun shipwreck,Unknown
Kashii,Imperial Japanese Navy
Nokaze,Imperial Japanese Navy
HMS Phoenix,Royal Navy
HMS Basilisk,Royal Navy
HMS Brilliant,Royal Navy
Z8 Bruno Heinemann,Kriegsmarine
SS Empire Blessing,United Kingdom
HMS Grafton,Royal Navy
MS Herald of Free Enterprise,United Kingdom
HMS LST-420,Royal Navy
U-5,Imperial German Navy
U-11,Imperial German Navy
UB-10,Imperial German Navy
UB-59,Imperial German Navy
UC-3,Imperial German Navy
UC-62,Imperial German Navy
UC-77,Imperial German Navy
't Vliegend Hert,Dutch East India Company
SS Mopang,United States
SS Rodina,Bulgaria
SS American Star,Greece
El Condesito,Spain
The Telamon (Temple Hall),Greece
Sémillante,French Navy
Audace,Regia Marina
Baron Gautsch,Austria-Hungary
Cesare Rossarol,Regia Marina
Giuseppe Garibaldi,Regia Marina
SMS Niobe,Kriegsmarine
SMS Szent István,Austria-Hungary
UB-129,Imperial German Navy
SMS Viribus Unitis,Austria-Hungary
Constandis,Russia
Alexander Nevsky,Imperial Russian Navy
