Ship,Sunk date,Notes,Coordinates,Year
Black Assarca shipwreck,600,"A wreck discovered at Black Assarca Island in 1995. It was excavated in 1997, and found to hold a cargo of amphoras.",,600
Globe Star,27-Apr-73,A cargo ship that ran aground off Mombasa.[1],4°04′54″S 39°43′12″E,1973
Gulland,13-Apr-51,A 545-ton Isles-class trawler built for World War II. It ran aground three miles (4.8 km) north of Mombasa.,04°02′50″S 39°43′57″E,1951
Mtongwe,27-Apr-94,A Likoni and Mombasa route ferry that capsized due to overcrowding off Kilindini Harbour. 270 people lost their lives.[2],,1994
Katina P,26-Apr-92,"An oil tanker that was damaged in a storm, spilling several thousand tonnes of oil.",25°35′S 32°59′E,1992
Sunny South,20 February 1861,"An American-built extreme clipper sold to Havana and put to work in the slave trade. It was captured by the Royal Navy and used as a store ship, before striking a reef and sinking at Mayotte.",13°02′53″S 45°11′42″E,1861
Achille Lauro,2-Dec-94,"A cruise ship that was hijacked in 1985 by the Palestine Liberation Front. It ultimately sank nine years later, after an explosion in the engine room started a fire that engulfed the ship.",2°N 47°E,1994
U-852,3-May-44,A Type IXD2 U-boat that was attacked by British aircraft and run aground near Bayla.,9°32′N 50°59′E,1944
SMS Königsberg,11-Jul-15,A Königsberg-class light cruiser that was sunk in the Rufiji River.[1][3],7°52′6″S 39°14′24″E,2015
HMS Pegasus,20-Sep-14,A Pelorus-class protected cruiser that was sunk at Zanzibar by SMS Königsberg.[1][3],6°8′54″S 39°11′36″E,2014
Spice Islander I,10-Sep-11,"A RORO ferry that sank between Unguja and Pemba Island, with the loss of at least 200 lives.",5°39′23″S 39°28′27″E,2011
Bukoba,21-May-96,A Lake Victoria ferry that sank off Mwanza with over 200 confirmed dead.,1°59′2″S 32°19′7″E,1996
Kabalega,8-May-05,A train ferry that collided with Kaawa near the Ssese Islands.,0°39′23″S 32°8′41″E,2005
Robert Coryndon,1962,"A British ferry named after Robert Coryndon, Governor of Uganda (1918–1922).",,1962
Adventure Galley,April 1698,"A galley that was captained by William Kidd, who ordered it burnt at Île Sainte-Marie.",,1698
HMS Serapis,July 1781,A Roebuck-class fifth rate that caught fire and sank off Île Sainte-Marie.,17°00′09″S 49°50′31″E,1781
HMS Algerine,15-Nov-42,An Algerine-class minesweeper that was torpedoed by the Italian submarine Ascianghi off Béjaïa.,36°45′N 05°11′E,1942
City of Venice,4-Jul-43,A troopship that was torpedoed by the German submarine U-375.,36°44′N 1°31′E,1943
HMS Ibis,10-Nov-42,A Black Swan-class sloop that was sunk by an Italian aircraft north of Algiers.,37°0′N 3°0′E,1942
HMS Karanja,12-Nov-42,"Troop carrier (infantry), former BI cargo liner. Sunk by German aircraft off Bougie (Béjaïa).",,1942
USS Leedstown,9-Nov-42,A troopship that was sunk by the German submarine U-331 off Algiers.,36°49′13″N 3°9′55″E,1942
HMCS Louisburg,6-Feb-43,A Flower-class corvette that was sunk by German aircraft near Mostaganem.,36°15′N 00°15′E,1943
HMT Narkunda,14-Nov-42,"British P&O requisitioned troopship bombed and sunk by German aircraft. Sister ship Naldera. Located off Bougie (Béjaïa), Algeria, passing Cape Carbon.",36°52′N 05°01′E,1942
HMT Rohna,26-Nov-43,A British troop carrier sunk north of Béjaïa in an air attack during World War II.[4][5],37°1′12″N 5°12′6″E,1943
HMS Samphire,30-Jan-43,A Flower-class corvette that was torpedoed by an Italian submarine off Béjaïa.,36°56′0″N 5°40′0″E,1943
Strathallen,22-Dec-42,A Strath-class liner that was being used as a troop transport was sunk by a German submarine off the coast of Algeria.,,1942
HMS Attack,30-Dec-17,An Acheron-class destroyer that was sunk northwest of Alexandria.,31°18′N 29°49′E,2017
HMS Defender,11-Jul-41,A D-class destroyer that was attacked by a German bomber and sank under tow off Sidi Barrani.,31°45′N 25°31′E,1941
L'Orient,1 August 1798,"An Océan-class ship of the line and Napoleon's flagship, destroyed by fire and explosion in Aboukir Bay during the Battle of the Nile.",,1798
HMS Myngs,16-May-70,A Z-class destroyer that was sunk by Israeli aircraft in Foul Bay.,,1970
Salem Express,14 December 1991,"A roll-on/roll-off passenger ferry that ran aground at midnight on a reef near Safaga, sinking rapidly with the loss of at least 464 civilians.",26°38′22″N 34°3′39″E,1991
HMS Salvia,24-Dec-41,A Flower-class corvette that was torpedoed by U-568 about 100 nautical miles (190 km; 120 mi) west of Alexandria.,31°28′N 28°00′E,1941
Yolanda (Jolanda),Apr-80,A cargo ship that ran aground on a reef at Ras Muhammad.,,1980
HMS Dainty,24-Feb-41,A D-class destroyer that was sunk by German bombers east of Tobruk.,32°4′24″N 24°4′42″E,1941
HMS Ladybird,12-May-41,An Insect-class gunboat that was sunk by German dive bombers at Tobruk.,32°4′33″N 23°58′21″E,1941
Shuntien,23-Dec-41,A passenger and cargo liner that was torpedoed by the German submarine U-559 east of Tobruk.,32°04′N 24°28′E,1941
HMS Sikh,14-Sep-42,A Tribal-class destroyer that was sunk by shore batteries off Tobruk.,32°5′52″N 24°0′0″E,1942
HMS Terror,23-Feb-41,An Erebus-class monitor that was attacked by German aircraft and sank under tow off Derna.,32°59′N 22°32′E,1941
U-652,2-Jun-42,A Type VIIC U-boat that was attacked by a British aircraft and scuttled north of Bardia.,31°55′N 25°11′E,1942
Yoma,17-Jun-41,A troopship that was torpedoed by the German submarine U-81 northwest of Derna.,33°02′N 22°02′E,1941
Commerce,1815,"An American merchant ship that ran aground off Cape Bojador in what is now the Western Sahara. The surviving crew, led by Captain James Riley, were subsequently captured and taken as slaves by local tribes.[6]",,1815
Delhi,12-Dec-11,"A steamship that ran aground in heavy fog. The Duke of Fife was rescued from the sinking ship, but contracted pleurisy and died soon afterward.",,2011
Empire Barracuda,15-Dec-42,A cargo ship that was torpedoed by the U-77 off Morocco.,35°30′N 06°17′W﻿ / ﻿35.500°N 6.283°W﻿ / 35.500; -6.283﻿ (SS E,1942
